plots run start 2026-08-15 18:38:48  Q={2,3}, momentum constraint, 1e-8
18:38:48  === NNPDF ===
18:38:58  kernels rc=0
18:39:23  lattice rc=0 done=2/2 failed=0
18:40:45  dis rc=0 done=2/2 failed=0
18:40:45  dy rc=1 done=0/2 failed=2
18:41:02  exp rc=1 done=0/2 failed=2
18:42:02  both rc=1 done=0/2 failed=2
18:42:02  synthetic_z_plumbing rc=1 done=0/2 failed=2
18:42:02  === JAM ===
18:42:15  kernels rc=0
18:42:39  lattice rc=0 done=2/2 failed=0
18:44:15  dis rc=0 done=2/2 failed=0
18:44:49  dy rc=1 done=0/2 failed=2
18:45:40  exp rc=1 done=0/2 failed=2
18:46:03  both rc=1 done=0/2 failed=2
18:46:03  synthetic_z_plumbing rc=1 done=0/2 failed=2
18:46:03  ALL DONE
