plots run start 2026-08-15 18:57:36  Q={2,3}, user parameters: a per-field, constraints 1e-8
18:57:36  === NNPDF ===
18:57:46  kernels rc=0
18:57:57  lattice rc=0 done=2/2 failed=0
18:59:36  dis rc=0 done=2/2 failed=0
18:59:36  dy rc=1 done=0/2 failed=2
19:01:17  exp rc=1 done=0/2 failed=2
19:01:17  both rc=1 done=0/2 failed=2
19:01:17  synthetic_z_plumbing rc=1 done=0/2 failed=2
19:01:17  === JAM ===
19:01:27  kernels rc=0
19:01:39  lattice rc=0 done=2/2 failed=0
19:03:15  dis rc=0 done=2/2 failed=0
19:03:52  dy rc=1 done=0/2 failed=2
19:03:52  exp rc=1 done=0/2 failed=2
19:03:58  both rc=1 done=0/2 failed=2
19:03:58  synthetic_z_plumbing rc=1 done=0/2 failed=2
19:03:58  ALL DONE
